step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
75,4.663552,bic,bic,2.411,34.575,51.163,9.0,0.0,-1.0465000000000004
76,4.693403,bic,bic,2.411,30.125,45.135,9.0,0.0,-0.6015000000000001
77,4.72271,bic,bic,3.015,29.261,43.151,11.0,0.0,0.0889000000000002
78,4.747256,bic,bic,3.166,24.596,33.155,9.0,7.0,0.7063999999999999
79,4.780661,bic,bic,3.953,34.846,33.386,7.0,0.0,0.4683999999999999
80,4.853986,bic,bic,2.428,73.198,38.483,8.0,0.0,-4.8918
81,4.880842,bic,bic,1.266,26.434,44.103,8.0,0.0,-1.3774000000000002
82,4.913278,bic,bic,1.266,32.515,40.729,8.0,0.0,-1.9855
83,4.944808,bic,bic,2.849,31.93,38.734,8.0,0.0,-0.34399999999999986
84,4.970359,bic,bic,2.849,25.343,36.321,10.0,0.0,0.3147000000000002
85,5.00454,bic,bic,3.626,34.25,34.983,10.0,0.0,0.20099999999999962
86,5.042335,bic,bic,2.095,37.918,33.954,10.0,0.0,-1.6968
87,5.069166,bic,bic,3.055,41.716,34.924,11.0,0.0,-1.1166000000000005
88,5.100776,bic,bic,3.36,31.697,33.614,11.0,0.0,0.1902999999999997
89,5.137098,bic,bic,3.653,36.31,33.562,11.0,0.0,0.021999999999999797
90,5.196321,bic,bic,3.188,59.032,37.75,7.0,0.0,-2.7152
91,5.221287,bic,bic,1.374,25.246,38.519,8.0,0.0,-1.1505999999999998
92,5.253612,bic,bic,1.374,32.149,40.88,8.0,0.0,-1.8409
93,5.290446,bic,bic,2.879,36.775,39.417,8.0,0.0,-0.7985000000000002
94,5.328405,bic,bic,2.52,37.922,39.23,8.0,0.0,-1.2721999999999998
95,5.376117,bic,bic,2.441,47.876,40.173,10.0,0.0,-2.3466000000000005
96,5.425808,bic,bic,2.42,25.082,36.276,10.0,0.0,-0.0882000000000005
97,5.457682,bic,bic,4.618,31.913,35.731,12.0,0.0,1.4267000000000003
98,5.528862,bic,bic,3.627,70.965,39.72,12.0,0.0,-3.469500000000001
99,5.587006,bic,bic,1.305,33.04,40.68,8.0,0.0,-1.9990000000000003
100,5.615278,bic,bic,2.805,28.145,39.113,9.0,0.0,-0.009500000000000064
101,5.691879,bic,bic,3.7,76.75,41.578,9.0,0.0,-3.9750000000000005
102,5.728164,bic,bic,1.358,36.483,40.941,11.0,0.0,-2.2903
103,5.753978,bic,bic,3.175,25.843,39.054,11.0,0.0,0.5906999999999996
104,5.842843,bic,bic,3.174,87.316,41.24,7.0,0.0,-5.557600000000001
105,5.893428,bic,bic,1.061,26.911,39.989,8.0,0.0,-1.6301000000000005
106,5.971503,bic,bic,3.442,77.972,42.066,8.0,0.0,-4.3552
107,5.995694,bic,bic,1.188,24.079,43.753,8.0,0.0,-1.2199000000000002
108,6.181752,bic,bic,1.188,185.944,59.395,8.0,0.0,-17.4064
109,6.247773,bic,bic,0.561,66.257,63.989,11.0,0.0,-6.064700000000001
110,6.331808,bic,bic,0.685,83.858,67.138,11.0,0.0,-7.700800000000001
111,6.423349,bic,bic,1.381,91.569,75.079,7.0,0.0,-7.7759
112,6.454208,bic,bic,0.885,30.737,72.924,8.0,0.0,-2.1887
113,6.58358,bic,bic,1.012,129.236,79.963,8.0,0.0,-11.9116
114,6.613664,bic,bic,0.717,30.337,79.153,8.0,0.0,-2.3167
115,6.739777,bic,bic,0.717,126.142,79.694,8.0,0.0,-11.8972
116,6.768586,bic,bic,0.734,28.833,78.421,10.0,0.0,-2.1493
117,6.885504,bic,bic,0.918,116.858,77.808,10.0,0.0,-10.767800000000001
118,6.911993,bic,bic,3.466,26.49,65.442,10.0,0.0,0.8170000000000002
119,7.03904,bic,bic,4.373,129.803,73.487,10.0,0.0,-8.607299999999999
120,7.183404,bic,bic,0.914,144.402,88.516,12.0,0.0,-13.5262
121,7.208708,bic,bic,0.802,25.625,92.117,12.0,0.0,-1.7605
122,7.334255,bic,bic,0.802,125.106,78.235,8.0,5.0,-11.7086
123,7.359095,bic,bic,0.609,25.095,77.724,9.0,0.0,-1.9005
124,7.491466,bic,bic,0.812,132.012,84.649,9.0,0.0,-12.3892
125,7.635716,bic,bic,0.79,144.231,92.097,9.0,0.0,-13.633099999999999
126,7.774683,bic,bic,3.872,109.256,81.487,11.0,0.0,-7.053600000000001
127,7.799608,bic,bic,1.06,24.97,82.457,7.0,0.0,-1.4369999999999998
128,7.924617,bic,bic,0.742,124.92,81.481,8.0,0.0,-11.75
129,7.95444,bic,bic,0.742,29.866,79.792,8.0,0.0,-2.2446
130,8.097215,bic,bic,0.742,142.697,87.655,8.0,0.0,-13.5277
131,8.218597,bic,bic,0.649,97.773,87.196,8.0,0.0,-9.1283
132,8.265552,bic,bic,0.948,46.859,82.154,11.0,0.0,-3.7379000000000002
133,8.44573,bic,bic,2.472,180.174,94.407,11.0,0.0,-15.545400000000003
134,8.471327,bic,bic,0.707,25.498,90.315,7.0,0.0,-1.8428000000000004
135,8.569889,bic,bic,0.321,124.048,87.445,7.0,0.0,-12.083800000000002
136,8.596071,bic,bic,0.823,26.331,81.576,8.0,0.0,-1.8101000000000003
137,8.705811,bic,bic,0.94,109.542,79.037,8.0,0.0,-10.0142
138,8.858527,bic,bic,4.3,125.507,79.147,10.0,0.0,-8.250700000000002
139,8.884788,bic,bic,0.922,26.527,82.099,10.0,0.0,-1.7307000000000001
140,8.967637,bic,bic,0.922,82.69,76.494,10.0,0.0,-7.347
141,8.996457,bic,bic,1.401,29.135,65.775,10.0,0.0,-1.5125000000000004
142,9.030757,bic,bic,1.465,40.949,62.671,11.0,0.0,-2.6299
143,9.112628,bic,bic,3.725,81.686,57.395,11.0,0.0,-4.443600000000002
144,9.140234,bic,bic,1.418,27.85,53.702,12.0,0.0,-1.3670000000000002
145,9.172371,bic,bic,1.418,31.929,41.641,8.0,0.0,-1.7749
146,9.262515,bic,bic,2.178,90.027,43.919,9.0,0.0,-6.824700000000001
147,9.293464,bic,bic,1.556,31.245,49.273,9.0,0.0,-1.5685000000000002
148,9.336782,bic,bic,1.384,43.129,50.447,9.0,0.0,-2.9289
149,9.400835,bic,bic,2.415,63.928,51.335,11.0,0.0,-3.9778000000000002
150,9.4441,bic,bic,1.812,42.696,51.636,11.0,0.0,-2.4575999999999993
151,9.496165,bic,bic,1.812,52.415,48.464,7.0,0.0,-3.4295
152,9.546511,bic,bic,1.548,50.476,49.525,8.0,0.0,-3.4996
153,9.585303,bic,bic,1.769,38.911,48.311,8.0,0.0,-2.1221000000000005
154,9.649073,bic,bic,1.834,63.59,50.221,8.0,0.0,-4.525
155,9.692191,bic,bic,1.457,43.088,50.794,8.0,0.0,-2.851800000000001
156,9.733848,bic,bic,1.457,41.776,48.829,10.0,0.0,-2.720600000000001
157,9.808352,bic,bic,2.687,74.426,52.029,10.0,0.0,-4.755600000000001
158,9.837938,bic,bic,1.556,29.697,55.721,10.0,0.0,-1.4137
159,9.891506,bic,bic,3.897,30.367,46.479,12.0,0.0,0.8602999999999996
160,9.961498,bic,bic,3.812,70.095,47.672,12.0,0.0,-3.1975000000000002
161,9.994305,bic,bic,1.652,32.899,52.325,8.0,5.0,-1.6379000000000004
162,10.026199,bic,bic,1.322,31.771,45.783,8.0,0.0,-1.8551000000000002
163,10.105986,bic,bic,2.818,79.402,49.986,9.0,0.0,-5.122200000000001
164,10.15478,bic,bic,1.312,49.037,55.914,9.0,0.0,-3.5917000000000003
165,10.24044,bic,bic,1.312,85.644,58.885,9.0,0.0,-7.252400000000001
166,10.291943,bic,bic,1.217,51.457,57.957,11.0,0.0,-3.9287000000000005
167,10.317874,bic,bic,2.248,26.004,52.642,11.0,0.0,-0.35240000000000027
168,10.376594,bic,bic,2.248,58.679,43.91,7.0,0.0,-3.6199000000000003
169,10.442442,bic,bic,1.408,65.842,49.562,8.0,0.0,-5.1762
170,10.473036,bic,bic,0.981,30.586,44.352,8.0,0.0,-2.0776000000000003
171,10.517514,bic,bic,3.03,51.411,45.235,8.0,0.0,-2.111100000000001
172,10.579711,bic,bic,2.081,61.966,47.251,8.0,0.0,-4.115600000000001
173,10.608055,bic,bic,1.495,28.567,44.916,10.0,0.0,-1.3617
174,10.664242,bic,bic,4.047,56.111,42.974,10.0,0.0,-1.5641000000000007
175,10.713359,bic,bic,2.065,49.172,45.187,10.0,0.0,-2.8522000000000003
176,10.753522,bic,bic,2.065,40.235,45.007,10.0,0.0,-1.9585000000000004
177,10.810992,bic,bic,2.354,57.148,45.552,12.0,0.0,-3.3608000000000002
178,10.861488,bic,bic,2.026,50.461,47.438,12.0,0.0,-3.0201000000000002
179,10.893445,bic,bic,2.026,32.271,46.611,8.0,5.0,-1.2011000000000003
180,10.951443,bic,bic,1.836,57.914,42.813,8.0,0.0,-3.9554
181,10.980876,bic,bic,1.6,29.238,42.773,9.0,0.0,-1.3237999999999999
182,11.020805,bic,bic,1.599,40.032,46.087,9.0,0.0,-2.4041999999999994
183,11.067753,bic,bic,2.604,46.927,46.192,9.0,0.0,-2.0887000000000002
184,11.117365,bic,bic,2.22,49.441,46.758,11.0,0.0,-2.7241000000000004
185,11.168384,bic,bic,2.341,50.963,47.84,11.0,0.0,-2.7553
186,11.208958,bic,bic,2.272,40.544,48.0,7.0,0.0,-1.7824000000000004
187,11.259256,bic,bic,1.591,49.996,47.437,8.0,0.0,-3.4086000000000007
188,11.292965,bic,bic,1.852,33.905,46.033,8.0,0.0,-1.5385000000000002
189,11.317406,bic,bic,1.62,24.647,47.601,8.0,0.0,-0.8447
190,11.34883,bic,bic,2.732,31.401,40.877,8.0,0.0,-0.40810000000000013
191,11.404284,bic,bic,2.951,55.296,42.679,10.0,0.0,-2.5786000000000002
192,11.427581,bic,bic,2.094,23.215,41.633,10.0,0.0,-0.22750000000000004
193,11.455313,bic,bic,1.047,50.974,42.8,10.0,0.0,-4.050400000000001
194,11.511104,bic,bic,4.17,31.553,36.951,10.0,0.0,1.0146999999999995
195,11.572026,bic,bic,3.68,59.548,39.189,12.0,0.0,-2.2748000000000004
196,11.631902,bic,bic,1.482,61.249,48.159,12.0,0.0,-4.6429
197,11.665921,bic,bic,1.482,34.152,49.239,8.0,5.0,-1.9332000000000005
198,11.703383,bic,bic,2.169,37.245,44.727,8.0,0.0,-1.5554999999999999
199,11.76047,bic,bic,2.488,57.199,46.286,9.0,0.0,-3.2319
200,11.820758,bic,bic,1.822,60.23,49.226,9.0,0.0,-4.201
201,11.856877,bic,bic,1.731,36.075,47.583,11.0,0.0,-1.8765000000000003
202,11.883025,bic,bic,3.209,26.297,43.666,11.0,0.0,0.5792999999999999
203,11.916684,bic,bic,3.209,33.516,36.173,7.0,0.0,-0.14259999999999984
204,11.949667,bic,bic,1.072,32.926,34.048,8.0,0.0,-2.2206
205,12.043374,bic,bic,4.065,93.423,40.23,8.0,0.0,-5.277299999999999
206,12.069033,bic,bic,1.145,25.909,49.255,8.0,0.0,-1.4459
207,12.179293,bic,bic,1.145,110.061,52.07,8.0,0.0,-9.861100000000002
208,12.204056,bic,bic,0.842,24.933,62.361,10.0,0.0,-1.6513
209,12.334109,bic,bic,1.052,129.934,66.717,10.0,0.0,-11.941400000000002
210,12.359768,bic,bic,0.891,25.594,75.299,10.0,0.0,-1.6684
211,12.467505,bic,bic,2.449,107.415,68.715,11.0,0.0,-8.292500000000002
212,12.491715,bic,bic,1.52,24.38,69.519,11.0,0.0,-0.9180000000000001
213,12.624662,bic,bic,4.749,133.078,58.274,10.0,7.0,-8.558800000000002
214,12.656818,bic,bic,1.159,32.118,76.942,8.0,0.0,-2.0528000000000004
215,12.788583,bic,bic,0.843,131.635,78.885,9.0,0.0,-12.3205
216,12.941293,bic,bic,4.381,128.893,79.111,9.0,0.0,-8.5083
217,12.968516,bic,bic,0.719,27.395,75.554,9.0,0.0,-2.0205
218,13.081393,bic,bic,0.809,112.659,80.627,9.0,0.0,-10.456900000000003
219,13.130108,bic,bic,4.782,25.541,62.061,12.0,0.0,2.2279
220,13.21997,bic,bic,4.752,90.196,55.138,8.0,5.0,-4.267600000000001
221,13.260229,bic,bic,1.027,39.892,63.431,8.0,0.0,-2.9622
222,13.286301,bic,bic,1.027,26.3,58.789,9.0,0.0,-1.6030000000000004
223,13.355438,bic,bic,3.52,68.86,59.787,9.0,0.0,-3.366
224,13.409202,bic,bic,1.514,53.809,60.034,9.0,0.0,-3.8669000000000002
225,13.48176,bic,bic,1.514,126.437,68.334,10.0,0.0,-11.129700000000001
226,13.562741,bic,bic,1.594,80.931,70.801,10.0,0.0,-6.499099999999999
227,13.590014,bic,bic,1.431,27.321,65.366,12.0,0.0,-1.3011000000000004
228,13.697199,bic,bic,4.231,106.994,62.779,12.0,0.0,-6.468400000000001
229,13.746613,bic,bic,1.083,48.429,73.715,8.0,5.0,-3.7599
230,13.839367,bic,bic,1.914,70.992,61.374,9.0,0.0,-5.185200000000001
231,13.869726,bic,bic,1.469,30.609,57.528,9.0,0.0,-1.5919
232,13.904989,bic,bic,3.402,35.052,49.205,9.0,0.0,-0.10320000000000018
233,13.968424,bic,bic,2.973,63.265,49.419,11.0,0.0,-3.3535000000000004
234,14.018124,bic,bic,1.831,49.819,49.469,11.0,0.0,-3.1509000000000005
235,14.043587,bic,bic,1.83,25.601,46.523,7.0,0.0,-0.7301000000000002
236,14.076651,bic,bic,3.159,33.032,37.001,8.0,0.0,-0.1442000000000001
237,14.128721,bic,bic,2.805,62.109,40.14,8.0,0.0,-3.4059000000000004
238,14.278468,bic,bic,1.779,149.483,55.117,8.0,0.0,-13.169300000000002
239,14.336003,bic,bic,0.641,57.397,56.809,10.0,0.0,-5.0987
240,14.37801,bic,bic,0.775,42.174,60.586,10.0,0.0,-3.4424000000000006
241,14.407907,bic,bic,2.019,29.675,54.714,10.0,0.0,-0.9485000000000001
242,14.433576,bic,bic,2.748,25.714,51.089,10.0,0.0,0.1766000000000001
243,14.484179,bic,bic,4.497,26.513,40.498,10.0,0.0,1.8456999999999995
244,14.564899,bic,bic,4.369,80.842,45.541,13.0,0.0,-3.715200000000001
245,14.591774,bic,bic,1.432,27.179,47.111,13.0,0.0,-1.2859000000000003
246,14.616012,bic,bic,1.432,24.185,37.134,9.0,10.0,-0.9864999999999999
247,14.646095,bic,bic,3.825,30.079,32.03,9.0,0.0,0.8170999999999999
248,14.745751,bic,bic,3.585,99.165,40.099,10.0,0.0,-6.331500000000001
249,14.801483,bic,bic,1.192,28.762,47.527,10.0,0.0,-1.6842000000000004
250,14.872836,bic,bic,4.024,70.465,44.985,12.0,0.0,-3.022500000000001
251,14.905219,bic,bic,1.643,33.531,46.347,12.0,0.0,-1.7101
252,14.932907,bic,bic,1.642,27.322,39.307,8.0,5.0,-1.0902000000000003
253,14.967858,bic,bic,2.761,35.317,34.447,8.0,0.0,-0.7707000000000002
254,14.996604,bic,bic,2.624,28.88,33.751,9.0,0.0,-0.2639999999999998
255,15.189622,bic,bic,3.605,192.676,52.626,9.0,0.0,-15.662600000000001
256,15.256988,bic,bic,0.601,67.667,97.166,9.0,0.0,-6.1657
257,15.290698,bic,bic,0.877,33.299,80.666,11.0,0.0,-2.4529000000000005
258,15.44813,bic,bic,2.087,157.532,67.151,9.0,7.0,-13.666200000000002
259,15.473171,bic,bic,0.368,25.21,75.951,7.0,0.0,-2.1530000000000005
260,15.501175,bic,bic,0.603,28.969,65.138,8.0,0.0,-2.2939000000000007
261,15.608488,bic,bic,3.321,107.244,69.119,8.0,0.0,-7.403400000000001
262,15.634894,bic,bic,0.864,26.299,67.941,8.0,0.0,-1.7659000000000002
263,15.723404,bic,bic,0.864,88.53,62.106,8.0,0.0,-7.989
264,15.760078,bic,bic,1.06,36.704,61.704,10.0,0.0,-2.6104000000000003
265,15.823754,bic,bic,1.325,63.368,61.912,10.0,0.0,-5.0118
266,15.942644,bic,bic,1.828,119.143,69.066,10.0,0.0,-10.086300000000001
267,15.976904,bic,bic,0.972,34.359,79.205,10.0,0.0,-2.4639
268,16.060218,bic,bic,0.972,82.497,74.714,12.0,0.0,-7.277700000000001
269,16.086138,bic,bic,1.404,26.756,70.327,12.0,0.0,-1.2716000000000003
270,16.137932,bic,bic,1.404,51.629,49.351,8.0,5.0,-3.7589000000000006
271,16.163964,bic,bic,1.795,25.905,46.831,8.0,0.0,-0.7955000000000005
272,16.246186,bic,bic,1.795,82.221,48.969,9.0,0.0,-6.427100000000001
273,16.289283,bic,bic,1.268,43.033,55.056,9.0,0.0,-3.0353000000000003
274,16.392614,bic,bic,1.268,103.22,61.077,11.0,0.0,-9.054
275,16.424887,bic,bic,1.122,32.492,66.153,11.0,0.0,-2.1272
276,16.451846,bic,bic,2.138,26.657,40.677,7.0,0.0,-0.5277000000000003
277,16.482037,bic,bic,2.494,33.661,39.941,8.0,0.0,-0.8721000000000001
278,16.563864,bic,bic,3.044,81.68,43.52,8.0,0.0,-5.1240000000000006
279,16.592726,bic,bic,1.134,29.111,45.896,8.0,0.0,-1.7771000000000003
280,16.634031,bic,bic,1.134,41.308,41.886,8.0,0.0,-2.9968
281,16.719595,bic,bic,2.244,85.248,47.244,10.0,0.0,-6.280800000000001
282,16.746648,bic,bic,1.358,27.123,48.894,10.0,0.0,-1.3543000000000003
283,16.796287,bic,bic,1.358,49.64,48.987,10.0,0.0,-3.6060000000000003
284,16.857486,bic,bic,2.332,61.319,50.669,10.0,0.0,-3.799900000000001
285,16.883453,bic,bic,2.078,25.778,46.31,12.0,0.0,-0.4998
286,16.934157,bic,bic,1.889,54.734,47.363,12.0,0.0,-3.5844000000000005
287,16.992492,bic,bic,2.284,58.429,50.931,8.0,5.0,-3.5589000000000004
288,17.036394,bic,bic,1.586,43.779,52.17,8.0,0.0,-2.7919
289,17.100019,bic,bic,4.259,39.084,44.855,9.0,0.0,0.3506
290,17.12714,bic,bic,2.369,66.311,46.909,9.0,0.0,-4.2621
291,17.17204,bic,bic,2.666,36.12,43.575,10.0,0.0,-0.9460000000000002
292,17.224893,bic,bic,3.202,52.561,43.889,10.0,0.0,-2.0541
293,17.277784,bic,bic,2.203,52.737,46.782,12.0,0.0,-3.070700000000001
294,17.344769,bic,bic,2.415,67.353,50.008,11.0,7.0,-4.3203
295,17.387734,bic,bic,1.891,42.712,55.27,8.0,0.0,-2.3802000000000003
296,17.434482,bic,bic,1.375,46.79,56.979,9.0,0.0,-3.3040000000000003
297,17.477235,bic,bic,2.227,42.811,54.104,9.0,0.0,-2.0541000000000005
298,17.533438,bic,bic,2.227,56.145,54.359,9.0,0.0,-3.3875000000000006
299,17.571697,bic,bic,1.856,38.037,52.521,9.0,0.0,-1.9477
300,17.601879,bic,bic,1.856,30.466,48.183,11.0,0.0,-1.1906
301,17.638209,bic,bic,2.739,66.683,46.868,11.0,0.0,-3.9293000000000013
302,17.669141,bic,bic,3.196,30.949,41.041,7.0,0.0,0.10109999999999975
303,17.728674,bic,bic,2.237,59.435,41.276,8.0,0.0,-3.7065
304,17.776935,bic,bic,1.559,25.081,40.532,8.0,0.0,-0.9491000000000003
305,17.824207,bic,bic,3.695,47.315,41.38,10.0,0.0,-1.0364999999999998
306,17.956101,bic,bic,2.448,131.611,52.659,10.0,0.0,-10.713099999999999
307,18.015497,bic,bic,0.88,59.142,58.39,10.0,0.0,-5.034200000000001
308,18.06165,bic,bic,0.88,46.372,57.996,10.0,0.0,-3.7572
