step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
74,4.958713,cubic,cubic,1.634,70.175,80.678,13.0,0.0,-5.3835
75,4.992078,cubic,cubic,1.714,84.454,71.538,9.0,11.0,-6.731399999999999
76,5.18565,cubic,cubic,1.383,227.016,88.589,9.0,5.0,-21.3186
77,5.256398,cubic,cubic,0.539,70.093,137.411,9.0,0.0,-6.470300000000001
78,5.316499,cubic,cubic,0.479,130.164,119.673,10.0,0.0,-12.5374
79,5.363866,cubic,cubic,1.487,107.757,111.684,10.0,0.0,-9.2887
80,5.445477,cubic,cubic,1.801,81.698,95.609,11.0,0.0,-6.3688
81,5.516246,cubic,cubic,1.75,135.994,96.117,11.0,0.0,-11.849400000000001
82,5.575532,cubic,cubic,1.345,59.409,86.994,11.0,0.0,-4.5959
83,5.601818,cubic,cubic,0.937,85.709,86.834,12.0,0.0,-7.6339
84,5.684177,cubic,cubic,1.101,142.438,88.594,12.0,0.0,-13.142800000000001
85,5.725183,cubic,cubic,1.725,121.665,93.261,12.0,0.0,-10.441500000000001
86,5.82896,cubic,cubic,1.143,144.685,99.689,12.0,0.0,-13.3255
87,5.881452,cubic,cubic,0.987,52.693,115.8,11.0,7.0,-4.2823
88,5.959162,cubic,cubic,0.881,130.624,111.219,10.0,7.0,-12.1814
89,6.171671,cubic,cubic,0.868,290.45,135.891,8.0,0.0,-28.177000000000003
90,6.235572,cubic,cubic,0.436,64.182,154.658,9.0,0.0,-5.982200000000001
91,6.319327,cubic,cubic,0.436,147.951,144.855,9.0,0.0,-14.3591
92,6.411063,cubic,cubic,1.244,166.757,141.48,10.0,0.0,-15.431700000000003
93,6.72943,cubic,cubic,0.625,409.375,174.967,10.0,0.0,-40.3125
94,6.873398,cubic,cubic,0.364,144.204,261.185,10.0,0.0,-14.0564
95,7.026376,cubic,cubic,0.364,153.242,205.351,10.0,0.0,-14.960199999999999
96,7.171422,cubic,cubic,0.756,144.792,178.913,10.0,0.0,-13.7232
97,7.321255,cubic,cubic,0.756,149.969,162.959,10.0,0.0,-14.2409
98,7.346943,cubic,cubic,0.772,175.873,160.819,11.0,0.0,-16.8153
99,7.767089,cubic,cubic,0.659,443.324,196.132,11.0,0.0,-43.67340000000001
100,7.912531,cubic,cubic,0.305,220.932,301.777,11.0,0.0,-21.7882
101,7.956665,cubic,cubic,0.261,192.174,233.854,12.0,0.0,-18.956400000000002
102,8.08494,cubic,cubic,0.277,172.562,244.672,12.0,0.0,-16.979200000000002
103,8.202781,cubic,cubic,0.629,290.285,242.49,12.0,0.0,-28.399500000000003
104,8.227503,cubic,cubic,0.479,301.648,259.691,13.0,0.0,-29.685800000000004
105,8.253064,cubic,cubic,0.461,296.496,268.883,13.0,0.0,-29.1886
106,8.433744,cubic,cubic,0.469,348.578,278.845,13.0,0.0,-34.388799999999996
107,8.556231,cubic,cubic,0.519,302.95,278.566,13.0,0.0,-29.776000000000003
108,8.59215,cubic,cubic,0.432,158.671,251.043,13.0,0.0,-15.4351
109,8.69133,cubic,cubic,0.652,257.641,251.868,14.0,0.0,-25.1121
110,8.720241,cubic,cubic,0.584,265.872,254.255,14.0,0.0,-26.003200000000003
111,8.845334,cubic,cubic,0.856,252.94,241.244,14.0,0.0,-24.438
112,8.958975,cubic,cubic,0.922,113.615,178.528,14.0,0.0,-10.439499999999999
113,9.183014,cubic,cubic,1.224,222.709,160.547,15.0,0.0,-21.0469
114,9.249563,cubic,cubic,0.52,67.909,178.979,10.0,13.0,-6.270900000000001
115,9.280815,cubic,cubic,0.52,99.305,169.107,9.0,14.0,-9.410500000000003
116,9.38834,cubic,cubic,0.468,138.82,131.772,10.0,0.0,-13.414
117,9.484485,cubic,cubic,1.078,203.623,138.09,10.0,0.0,-19.2843
118,9.533956,cubic,cubic,0.569,253.136,152.472,10.0,0.0,-24.744600000000002
119,9.638529,cubic,cubic,0.569,104.124,143.897,12.0,0.0,-9.843399999999999
120,9.69487,cubic,cubic,1.453,56.775,123.932,12.0,0.0,-4.2245
121,9.722739,cubic,cubic,1.001,83.435,118.87,13.0,0.0,-7.342500000000001
122,9.79888,cubic,cubic,0.968,160.675,116.831,13.0,0.0,-15.099500000000003
123,9.826278,cubic,cubic,1.527,104.584,107.988,10.0,11.0,-8.931400000000002
124,9.852303,cubic,cubic,1.218,53.459,100.802,9.0,10.0,-4.1279
125,9.879149,cubic,cubic,0.793,80.371,93.463,9.0,9.0,-7.2441
126,9.950656,cubic,cubic,1.226,151.589,96.874,9.0,0.0,-13.9329
127,10.652155,cubic,cubic,0.841,825.556,187.889,1.0,100.0,-81.71460000000002
128,10.700936,cubic,cubic,0.131,821.546,333.99,9.0,0.0,-82.02360000000002
129,10.746672,cubic,cubic,0.146,45.724,246.181,9.0,0.0,-4.4264
130,10.798312,cubic,cubic,0.099,97.25,227.565,9.0,0.0,-9.626000000000001
131,10.849718,cubic,cubic,1.071,102.893,142.76,10.0,0.0,-9.218300000000001
132,10.880906,cubic,cubic,1.071,82.644,103.812,10.0,0.0,-7.1934000000000005
133,10.94031,cubic,cubic,1.191,90.641,99.859,10.0,0.0,-7.873100000000002
134,11.008919,cubic,cubic,1.401,68.746,85.554,11.0,0.0,-5.4736
135,11.055552,cubic,cubic,1.685,115.305,84.418,11.0,0.0,-9.845500000000001
136,11.104873,cubic,cubic,1.516,95.782,81.707,10.0,8.0,-8.0622
137,11.196645,cubic,cubic,2.354,91.801,80.996,7.0,0.0,-6.826100000000001
138,11.245876,cubic,cubic,0.883,141.033,90.721,8.0,0.0,-13.220299999999998
139,11.305767,cubic,cubic,0.883,58.732,74.978,8.0,0.0,-4.990200000000001
140,11.393332,cubic,cubic,1.635,88.577,74.904,9.0,0.0,-7.2227
141,11.463507,cubic,cubic,1.176,70.077,77.135,9.0,0.0,-5.8317
142,11.558553,cubic,cubic,1.045,164.855,86.069,9.0,0.0,-15.440499999999998
143,11.619477,cubic,cubic,1.1,61.367,85.502,11.0,0.0,-5.0367
144,11.685426,cubic,cubic,1.1,127.065,86.424,11.0,0.0,-11.6065
145,11.747331,cubic,cubic,1.554,61.771,70.975,7.0,0.0,-4.6231
146,11.808085,cubic,cubic,1.586,109.069,75.245,7.0,0.0,-9.3209
147,11.871737,cubic,cubic,1.313,63.747,73.686,8.0,0.0,-5.061700000000001
148,11.902998,cubic,cubic,0.85,95.148,75.283,8.0,0.0,-8.6648
149,11.9563,cubic,cubic,1.453,53.183,70.145,9.0,0.0,-3.8653000000000004
150,12.032256,cubic,cubic,0.974,104.96,75.656,9.0,0.0,-9.522
151,12.167492,cubic,cubic,1.373,135.186,89.641,9.0,0.0,-12.145600000000002
152,12.321446,cubic,cubic,0.771,153.719,114.148,11.0,0.0,-14.6009
153,12.455115,cubic,cubic,0.753,133.68,130.929,11.0,0.0,-12.615000000000002
154,12.644325,cubic,cubic,0.753,189.238,139.78,7.0,0.0,-18.1708
155,12.790187,cubic,cubic,0.428,145.753,154.824,8.0,0.0,-14.147299999999998
