step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
73,3.389561,illinois,illinois,1.111,1212.62,1228.746,174.0,0.0,-120.151
74,3.429687,illinois,illinois,1.116,1232.24,1226.793,177.0,0.0,-122.108
75,3.49656,illinois,illinois,1.107,1241.692,1232.185,179.0,0.0,-123.0622
76,3.527172,illinois,illinois,1.105,1270.03,1242.924,181.0,0.0,-125.898
77,3.575188,illinois,illinois,1.084,1306.914,1256.441,182.0,0.0,-129.6074
78,3.60785,illinois,illinois,1.089,1310.714,1286.73,185.0,0.0,-129.9824
79,3.641534,illinois,illinois,1.088,1313.775,1296.76,186.0,0.0,-130.28950000000003
80,3.67367,illinois,illinois,1.091,1295.93,1303.904,188.0,0.0,-128.502
81,3.70839,illinois,illinois,1.107,1330.363,1310.984,191.0,0.0,-131.9293
82,3.735287,illinois,illinois,1.107,1299.941,1312.707,192.0,0.0,-128.8871
83,3.826795,illinois,illinois,1.114,1366.742,1325.737,195.0,0.0,-135.5602
84,3.889782,illinois,illinois,1.082,1429.944,1358.99,197.0,0.0,-141.91240000000002
85,3.95349,illinois,illinois,1.099,1456.844,1388.306,200.0,0.0,-144.58540000000002
86,4.011523,illinois,illinois,1.085,1433.862,1416.954,203.0,0.0,-142.3012
87,4.056577,illinois,illinois,1.105,1460.802,1423.578,205.0,0.0,-144.9752
88,4.085381,illinois,illinois,1.084,1438.999,1440.463,207.0,0.0,-142.8159
89,4.118355,illinois,illinois,1.104,1458.662,1444.072,209.0,0.0,-144.7622
90,4.145732,illinois,illinois,1.156,1413.64,1431.144,211.0,0.0,-140.208
91,4.209066,illinois,illinois,1.138,1476.983,1436.25,212.0,0.0,-146.56029999999998
92,4.25519,illinois,illinois,1.111,1505.628,1454.647,214.0,0.0,-149.45180000000002
93,4.316805,illinois,illinois,1.101,1483.823,1491.089,217.0,0.0,-147.28130000000002
94,4.367704,illinois,illinois,1.117,1534.467,1497.919,220.0,0.0,-152.32970000000003
95,4.417889,illinois,illinois,1.102,1548.721,1508.743,221.0,0.0,-153.7701
96,4.452116,illinois,illinois,1.105,1577.25,1525.866,224.0,0.0,-156.62000000000003
97,4.503825,illinois,illinois,1.103,1601.684,1543.442,227.0,0.0,-159.0654
98,4.547016,illinois,illinois,1.11,1598.952,1559.154,230.0,0.0,-158.7852
99,4.575597,illinois,illinois,1.118,1620.183,1571.975,232.0,0.0,-160.90030000000002
100,4.640114,illinois,illinois,1.108,1628.779,1579.076,233.0,0.0,-161.7699
101,4.669783,illinois,illinois,1.126,1623.302,1590.046,236.0,0.0,-161.2042
102,4.697224,illinois,illinois,1.129,1633.457,1606.619,239.0,0.0,-162.21670000000003
103,4.730816,illinois,illinois,1.124,1655.128,1619.588,240.0,0.0,-164.3888
104,4.755127,illinois,illinois,1.169,1599.366,1607.316,242.0,0.0,-158.7676
105,4.80499,illinois,illinois,1.173,1649.146,1612.545,243.0,0.0,-163.7416
106,4.833795,illinois,illinois,1.123,1677.864,1631.67,244.0,0.0,-166.66340000000002
107,4.859155,illinois,illinois,1.123,1505.451,1627.025,246.0,0.0,-149.42210000000003
108,4.90961,illinois,illinois,1.262,1555.712,1618.111,246.0,0.0,-154.3092
109,4.944124,illinois,illinois,1.216,1589.899,1600.604,248.0,0.0,-157.7739
110,4.997612,illinois,illinois,1.207,1643.658,1605.188,249.0,0.0,-163.1588
111,5.03263,illinois,illinois,1.167,1678.779,1641.111,252.0,0.0,-166.7109
112,5.109073,illinois,illinois,1.157,1755.078,1671.834,255.0,0.0,-174.3508
113,5.151582,illinois,illinois,1.118,1797.547,1698.503,256.0,0.0,-178.63670000000002
